,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
POR,-0.30384779655310595,-0.1441734718232911,0.030627087709696302,0.025451067522173014,-0.005106401868774201,-0.6830062187212679,-1.0256825027235392,0.06256063421749825,-0.4665529182489162,-0.8008969882398672,-0.8910886460850087,-0.8007786937112125,-0.5286373761982295,-0.9012752377346983,-0.6340603541147828,-0.7848700578671572,-0.44931285514083313,-0.1823370508514354,0.22244009123561148,1.3874139480879266,1.6527491170436341,1.6397514837452296,1.6712632532670444
ESP,0.14569132255135236,-0.16330849483557724,0.00843345874308379,-0.01286260847397278,-0.07770873299216617,-0.7070351250554783,-1.1325119660301493,0.20626980159251918,-0.3579205640003485,-0.7463748619394229,-0.8146470837562136,-0.5379772702927813,-0.29820820905618983,-0.4820255841090997,-0.504803590984974,-0.7846890483022629,-0.45169203082432907,-0.28249662441034884,-0.5827718610472712,1.2095160004629226,1.0517124211828839,1.1165214578424012,0.6641689426396377
FRA,1.0707430165071044,-0.12200132785231926,0.015841757683267097,0.001380047463675536,-0.04615579889171902,-0.49531170289464116,-0.7161888165872217,0.31635399066312475,-0.6221264636451972,-1.1814236163389817,-1.6917348426013772,-1.819683321316708,-1.8275658996088706,-2.099888695090272,-1.7881070058021982,-1.5036249201920042,-0.6812216082417266,-0.17424634865170052,-0.34572173487376756,0.6158208757327884,0.3927250015222393,0.4177203350847136,0.24296744264513517
BEL,0.4538932577364823,-0.18982861897746964,0.03423594552676753,0.024791860077319993,-0.05367123658972909,-0.7743201417983492,-1.0835658735590286,0.14672419999221045,-0.3459513285108064,-0.7538567865854237,-1.0569890955622263,-1.0479729773234747,-1.292116335562503,-1.2401708572394974,-0.9212663325347683,-0.6613469514635022,-0.4316145530704599,-0.3028320355759925,-0.5325266528252531,1.1055482931797258,0.9822818078854434,0.9918761457943295,0.46090738705407536
CHE,1.110118348724774,-0.09698184303818078,-0.014899235802775582,-0.038773666737327246,-0.10024736139275452,-0.6369712813049184,-0.8356833958398685,0.2727362771417759,-0.4262456549073926,-1.2598527035548175,-1.8733452575984166,-1.7336702925677105,-2.0455798159767764,-1.871806322797384,-1.479883355288815,-1.2197981698342217,-0.683157150078354,-0.13440765845593328,-0.26851829323981563,0.5753737027049064,0.45759265309311487,0.33130108864114893,-0.010926968873987463
LUX,0.33041277865378627,-0.19446687315113267,-0.10901740828619572,-0.06628418813247668,0.03612846945091779,-0.5512235959265569,-1.0182519995432575,0.15229728010539903,-0.1898346586610776,-0.432632958209612,-0.6044143709050918,-0.5664588318069013,-0.48741054262921923,-1.0251375617456084,-0.6541700751314723,-0.5701002234246719,-0.42746091797113944,-0.42781971112231454,-0.45664402095867057,0.9245422486396944,0.788894624598533,0.7944106606062338,0.2356605354503912
NLD,0.002469417307860565,-0.098723222796102,0.014126370357483877,0.02556406710496768,-0.03428957545662159,-0.7003102148404226,-0.9989931213672686,0.014447867742724751,-0.3251374850300326,-0.5807129000994489,-0.6725201928876132,-0.6680634825621323,-0.6594028189303955,-0.6981400039137581,-0.5550065624569915,-0.4258430308037315,-0.20198028610168087,-0.08237399996012432,-0.5458384768684631,1.3628275449488136,1.3417355429818252,1.293124249108168,0.5095480549007109
ITA,-0.1868393227901214,-0.22469732857996091,0.02322152601567623,0.020216553606400442,-0.02611364382004515,-0.688184891423909,-1.1721607891416854,0.20244414297948554,-0.07995154131322273,-0.4286755935422047,-0.37944569969574515,-0.021173873271388033,0.3466212641680654,-0.40008703309662896,-0.058110123112152044,-0.20808637250612835,-0.11350694825938884,-0.2250171577366036,-0.5483812498291959,1.2981742587452072,1.118862845869241,1.2139616606108563,0.5054085229146773
DEU,0.3233371681669476,-0.14492562288127783,0.00943821295439801,-0.028398891699666407,-0.11734156648784096,-0.8833618185363996,-1.2843932962535007,0.17746482240270994,-0.18568065127015213,-0.3771549522033829,-0.5612477490998599,-0.5867405599482288,-0.5476464162486648,-0.6311000335474081,-0.39002855204172565,-0.284840986424999,0.0067113153447072305,-0.20040283226172687,-0.7926674995315893,1.0307137657318575,0.8790569807540747,0.8028158304585026,0.047948240600270725
AUT,0.6488193562582265,-0.12864844567294845,-0.007344010445701569,-0.017086993404905812,-0.11530588599910473,-0.812069507085108,-1.1961452291257146,0.17267331478272505,-0.2403786625604381,-0.6327276314575904,-0.8660666902675268,-0.7679406654755104,-0.7843248565948521,-0.914016620391871,-0.6605506283291107,-0.5079719872758456,-0.21449770560128195,-0.12192560139084704,-1.0403830315074682,0.9093560502384349,0.6381168558421806,0.6320107665515398,-0.29089635085133575
